x,y
0,1.61961876
0.35,1.66413238
0.7,1.70846679
1.05,1.75264954
1.4,1.79671816
1.75,1.84072175
2.1,1.88472219
2.45,1.92879526
2.8,1.97303177
3.15,2.01753898
3.5,2.0624424
3.85,2.10788828
4.2,2.15404714
4.55,2.20111863
4.9,2.24933829
5.25,2.29898705
5.6,2.3504046
5.95,2.40400855
6.3,2.4603225
6.65,2.52001827
7,2.58398163
7.35,2.65341909
7.525,2.69069779
7.7,2.73004076
7.875,2.77179472
8.05,2.81639506
8.225,2.86439921
8.4,2.91653734
8.51666667,2.95406428
8.63333333,2.99423628
8.75,3.03753281
8.8375,3.07242175
8.925,3.1097447
9.0125,3.14991756
9.1,3.19347125
9.15833333,3.22471872
9.21666667,3.25803093
9.275,3.29372638
9.33333333,3.33220271
9.39166667,3.37396521
9.45,3.41966925
9.47916667,3.44426063
9.50833333,3.47018589
9.5375,3.49760482
9.56666667,3.5267074
9.59583333,3.5577218
9.625,3.59092533
9.65416667,3.62665927
9.68333333,3.66534989
9.7125,3.70753853
9.74166667,3.75392586
9.77083333,3.80543877
9.8,3.86333439
9.80795455,3.88044696
9.81590909,3.89820428
9.82386364,3.91665483
9.83181818,3.93585236
9.83977273,3.9558566
9.84772727,3.97673406
9.85568182,3.99855895
9.86363636,4.02141421
9.87159091,4.04539263
9.87954545,4.07059813
9.8875,4.09714695
9.89545455,4.12516893
9.90340909,4.15480846
9.91136364,4.18622491
9.91931818,4.21959202
9.92727273,4.25509534
9.93522727,4.29292654
9.94318182,4.33327254
9.95113636,4.37629705
9.95909091,4.42211178
9.96704545,4.47073546
9.975,4.52204277
9.98295455,4.57571261
9.99090909,4.63119552
9.99886364,4.68772608
10.00681818,4.74439648
10.01477273,4.80027921
10.02272727,4.85455704
10.03068182,4.90661363
10.03863636,4.95606299
10.04659091,5.00272737
10.05454545,5.04658869
10.0625,5.08773586
10.07045455,5.12632047
10.07840909,5.16252457
10.08636364,5.19653943
10.09431818,5.22855285
10.10227273,5.25874207
10.11022727,5.28727053
10.11818182,5.31428675
10.12613636,5.33992454
10.13409091,5.36430385
10.14204545,5.38753192
10.15,5.40970454
10.175,5.47342143
10.2,5.52963739
10.225,5.5798897
10.25,5.62530473
10.275,5.6667267
10.3,5.70480185
10.325,5.74003443
10.35,5.77282467
10.375,5.80349511
10.4,5.83230918
10.425,5.8594847
10.45,5.88520368
10.475,5.9096197
10.5,5.93286352
10.55,5.97626806
10.6,6.01614725
10.65,6.05305932
10.7,6.08744056
10.75,6.1196383
10.8,6.14993352
10.85,6.17855669
10.9375,6.22518191
11.025,6.26807231
11.1125,6.30784464
11.2,6.34497644
11.31666667,6.39101912
11.43333333,6.43372816
11.55,6.47363884
11.66666667,6.51117069
11.78333333,6.54665872
11.9,6.58037492
12.075,6.62810652
12.25,6.67295391
12.425,6.71539055
12.6,6.75579357
12.775,6.7944692
12.95,6.83167032
13.125,6.86760907
13.3,6.90246595
13.65,6.96953774
14,7.0339206
14.35,7.09644682
14.7,7.15782261
15.05,7.21868153
15.4,7.27962582
15.75,7.34126281
16.1,7.40424219
16.45,7.46929986
16.8,7.53731661
16.975,7.57276982
17.15,7.60940431
17.325,7.64741763
17.5,7.68704377
17.675,7.72856412
17.85,7.77232265
18.025,7.81874745
18.2,7.86838229
18.31666667,7.90359597
18.43333333,7.94080974
18.55,7.98034805
18.66666667,8.02261601
18.78333333,8.0681289
18.9,8.11755641
18.97,8.14945116
19.04,8.1833157
19.11,8.21945049
19.18,8.25822891
19.25,8.30012286
19.29375,8.32815176
19.3375,8.35781574
19.38125,8.38933588
19.425,8.42298076
19.46875,8.45908085
19.5125,8.49804904
19.55625,8.54041009
19.6,8.58684451
19.61590909,8.6049073
19.63181818,8.62367787
19.64772727,8.6432155
19.66363636,8.66358704
19.67954545,8.68486825
19.69545455,8.70714537
19.71136364,8.73051714
19.72727273,8.75509716
19.74318182,8.78101699
19.75909091,8.80842983
19.775,8.83751535
19.79090909,8.86848563
19.80681818,8.90159277
19.82272727,8.93713848
19.83863636,8.97548618
19.85454545,9.01707575
19.87045455,9.06244107
19.88636364,9.1122283
19.90227273,9.16720991
19.91818182,9.22827996
19.93409091,9.29639782
19.95,9.37241387
19.96029412,9.42601294
19.97058824,9.48295474
19.98088235,9.54281511
19.99117647,9.6048217
20.00147059,9.66788026
20.01176471,9.73071492
20.02205882,9.79208636
20.03235294,9.85099388
20.04264706,9.90677983
20.05294118,9.95912386
20.06323529,10.00796965
20.07352941,10.05343467
20.08382353,10.0957332
20.09411765,10.13512209
20.10441176,10.17186705
20.11470588,10.20622383
20.125,10.23842898
20.13529412,10.26869641
20.14558824,10.29721699
20.15588235,10.32415981
20.16617647,10.34967412
20.17647059,10.37389153
20.18676471,10.39692812
20.19705882,10.41888645
20.20735294,10.43985727
20.21764706,10.45992113
20.22794118,10.4791497
20.23823529,10.49760694
20.24852941,10.51535009
20.25882353,10.53243051
20.26911765,10.54889446
20.27941176,10.56478367
20.28970588,10.58013594
20.3,10.59498556
20.33888889,10.64705845
20.37777778,10.69373831
20.41666667,10.73602819
20.45555556,10.7746786
20.49444444,10.81026475
20.53333333,10.84323663
20.57222222,10.87395261
20.61111111,10.90270257
20.65,10.92972417
20.72,10.97461667
20.79,11.01544018
20.86,11.05287728
20.93,11.08745231
21,11.11957671
21.11666667,11.16853572
21.23333333,11.21274374
21.35,11.25305405
21.525,11.30757407
21.7,11.35632481
21.875,11.40042957
22.05,11.44071107
22.225,11.47778997
22.4,11.51214599
22.75,11.57412864
23.1,11.62889635
23.45,11.67796677
23.8,11.72241711
24.15,11.76303964
24.5,11.80043432
24.85,11.83506669
25.2,11.86730535
25.55,11.89744736
25.9,11.92573568
26.25,11.95237196
26.6,11.97752518
26.95,12.00133887
27.3,12.02393569
27.65,12.04542171
28,12.06588912
28.35,12.08541875
28.7,12.10408191
29.05,12.12194183
29.4,12.13905495
29.75,12.15547184
30.1,12.17123806
30.45,12.18639479
30.8,12.20097935
31.15,12.2150261
31.5,12.22856594
31.85,12.24162752
32.2,12.25423714
32.55,12.26641885
32.9,12.27819525
33.25,12.28958686
33.6,12.30061348
33.95,12.31129245
34.3,12.32164065
34.65,12.33167366
35,12.34140642
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
